#
# Network - k-core nodes. G(10823, 174977). (Sun Mar 15 17:08:40 2020)
#
# k-Core	Number of nodes in the k-Core
0	10823
1	10823
2	8791
3	7648
4	6856
5	6278
6	5795
7	5389
8	5037
9	4758
10	4495
11	4274
12	4048
13	3894
14	3724
15	3565
16	3450
17	3332
18	3217
19	3120
20	3008
21	2919
22	2849
23	2760
24	2687
25	2619
26	2550
27	2483
28	2427
29	2357
30	2306
31	2250
32	2207
33	2162
34	2106
35	2064
36	2023
37	1989
38	1937
39	1897
40	1865
41	1828
42	1788
43	1747
44	1714
45	1677
46	1650
47	1608
48	1575
49	1535
50	1511
51	1481
52	1457
53	1422
54	1399
55	1367
56	1339
57	1313
58	1285
59	1247
60	1209
61	1175
62	1153
63	1126
64	1086
65	1037
66	955
67	885
